,t1w_diff,t2w_diff,t3w_diff,t4w_diff,t1b_diff,t2b_diff,t3b_diff,t4b_diff
78,0.0667491,0.12312,0.240204,0.192218,0.22776,0.262297,0.110533,0.148947
79,-0.192272,0.338545,0.213821,0.0728929,0.208503,0.316749,-0.139208,-0.13295
80,0.00879057,0.092141,-0.0714078,-0.0206255,-0.0378071,0.0535932,0.121549,0.107685
81,0.0725346,-0.01646,0.0706795,-0.0639235,0.0394679,0.0323178,-0.0507644,0.181202
82,-0.0369614,0.217621,0.0484346,0.17411,-0.13623,0.160659,0.196681,0.272498
83,0.00519907,0.0112078,0.33827,0.141688,0.383069,-0.0690711,0.087114,0.221255
84,0.0574333,-0.0335816,-0.0449111,-0.0424405,0.398,0.145876,0.116004,0.161041
85,0.0505955,0.12763,0.0301249,0.0984112,0.1447,0.0167132,0.204278,0.36037
86,0.163564,0.0599824,0.0789283,0.177801,0.341065,0.173453,-0.100425,0.141869
87,0.0856748,0.230023,-0.0965503,-0.0328741,0.205938,0.1428,0.0765642,-0.0672765
88,0.00347273,0.143353,-0.0794938,0.015683,0.0644938,0.226874,-0.0346586,0.150161
89,-0.0169381,0.0584621,-0.0405799,0.0305,-0.13544,-0.0160973,0.0311808,0.236414
90,0.101641,0.094654,0.116216,-0.0961237,0.396353,0.284633,0.0842296,0.23865
91,0.03214,0.136894,-0.0409441,0.028688,0.0597417,-0.0461735,0.323776,0.0113558
93,0.0620294,0.138445,-0.00446623,0.0164401,0.175987,0.168093,0.0962727,0.237169
95,0.171644,0.0364049,0.168392,0.0310813,0.272738,0.146201,0.196337,0.115048
96,0.238739,0.00358338,0.0648375,-0.0941967,0.439258,0.390468,0.0489611,-0.0716673
97,0.0702573,0.161536,-0.0456031,-0.0811672,0.054379,0.00173929,0.176427,-0.0529815
98,0.0255165,0.107291,0.0454388,0.0379098,0.21725,0.081499,0.135444,0.200597
99,0.06415,0.0294593,0.0118893,0.0979013,0.198966,0.00782354,0.262433,0.116529
101,0.0394223,0.0245725,0.0682518,0.167207,0.105178,-0.016698,0.187396,0.0183647
102,0.0640942,0.347615,0.103614,0.0967812,0.174382,0.156489,0.247276,0.0784612
103,0.220584,0.230222,0.152431,0.144881,0.130266,0.0927289,0.1442,0.108595
104,0.136275,0.175761,-0.0729627,0.0406222,0.0833483,0.271994,0.167298,0.04095
106,0.304946,0.0768132,0.178441,-0.0517689,0.0957689,0.176492,0.049417,-0.0536533
107,0.251718,0.144876,0.0402843,0.307667,0.206738,0.0664078,-0.0456618,-0.00333684
108,0.0346844,0.0437803,0.0203492,0.0607245,0.193342,-0.0720453,0.180313,-0.143809
109,0.096001,0.145533,0.0644692,0.152905,-0.0340184,0.0493822,0.394189,0.0898136
110,0.275567,0.426727,0.0282186,-0.144091,-0.0388568,0.344615,0.141887,0.221507
111,0.0318107,0.0813237,0.310799,0.20348,-0.0108853,0.269288,0.258865,0.261935
112,0.0415525,0.152183,-0.129631,0.0257759,-0.0561033,0.102344,-0.046638,0.0087786
113,0.0530612,0.115873,0.054902,0.0792308,-0.141056,0.179121,0.0882353,0.140659
114,0.275959,0.152812,-0.017561,0.044927,0.349323,0.0715148,0.088054,0.104406
116,0.0655874,0.0294143,0.141926,0.0709134,0.161914,0.179883,0.125606,0.00418503
117,0.299831,0.199332,0.0980317,0.200912,0.214856,0.198026,0.0880255,0.362918
119,0.0497747,0.263564,0.0463899,-0.0755004,-0.065811,0.0430667,0.208066,0.155598
120,0.327147,0.175677,0.126736,0.175338,0.220539,0.253345,0.221611,0.26296
121,0.144434,-0.00651101,-0.019198,-0.0528116,0.239163,0.257781,0.114284,0.0202151
122,0.0349608,0.284817,-0.00720023,-0.129916,0.124487,0.0751765,0.177069,0.319453
123,0.050049,0.162978,-0.0959379,0.117996,0.122573,0.15059,0.394936,0.0719769
124,-0.0251342,0.0407094,0.0388914,0.106857,0.0457308,-0.00553893,0.0276514,0.00632753
125,0.0305446,0.0755958,-0.158152,-0.10169,0.0294044,-0.131946,-0.0996433,-0.11413
126,0.0815415,0.194999,0.0656645,0.110315,-0.0361702,0.234565,-0.0956614,0.000357609
127,0.144666,0.106079,0.131728,0.0900512,0.122571,0.000686743,0.281108,0.116972
128,0.153347,0.129255,-0.026562,0.104278,0.183728,0.0662984,0.0827019,0.128983
131,0.172723,0.204165,0.00628527,-0.0652773,0.0331535,0.0838451,-0.031337,0.187095
134,-0.206211,0.241543,0.157442,0.236677,-0.102381,0.189522,0.395214,0.0336292
137,0.0355679,-0.0800818,-0.0722567,0.0545276,0.299795,0.0201785,0.25669,-0.0533433
139,0.0214633,-0.0219702,-0.0115684,0.105371,0.232702,0.0973102,-0.00699093,0.095723
140,-0.0558729,0.0476765,-0.0126202,0.100983,0.149776,0.183337,0.0685009,0.112883
142,0.0367809,0.252595,0.110311,-0.170008,0.186373,-0.00439698,0.0690224,-0.0556757
143,-0.000572065,0.0603687,0.137545,-0.225319,-0.0415401,-0.0969946,0.0986151,-0.111173
144,0.0602946,0.130832,-0.0329961,-0.0410568,0.0351002,0.0454846,0.275582,0.052798
