Cluster Index	Voxels	1-p-MAX	1-p-MAX X (vox)	1-p-MAX Y (vox)	1-p-MAX Z (vox)	1-p-COG X (vox)	1-p-COG Y (vox)	1-p-COG Z (vox)
34	1197	0.998	132	75	75	127	99	97.2
33	825	0.998	57	124	90	54.2	107	102
32	345	0.998	46	75	74	49.1	79.1	83.9
31	28	0.998	121	133	100	123	134	96
30	9	0.998	53	133	94	54.6	135	94.9
29	8	0.998	120	82	101	119	84.5	103
28	8	0.998	55	72	91	55	75.2	91.2
27	7	0.998	118	88	104	119	90.1	105
26	6	0.998	126	128	98	125	128	97.7
25	2	0.998	121	106	112	121	106	112
24	2	0.996	53	128	97	53	128	97
23	2	0.99	122	95	97	122	95.5	97
22	2	0.99	136	118	95	136	118	95
21	2	0.998	55	70	92	55	70	92.5
20	2	0.998	124	76	91	124	76.5	91
19	2	0.998	54	78	89	54	78.5	89
18	2	0.998	125	77	88	125	77.5	88
17	1	0.998	128	83	80	128	83	80
16	1	0.99	130	96	105	130	96	105
15	1	0.998	51	82	81	51	82	81
14	1	0.996	130	95	103	130	95	103
13	1	0.998	119	78	102	119	78	102
12	1	0.998	59	130	101	59	130	101
11	1	0.998	127	81	83	127	81	83
10	1	0.998	120	80	101	120	80	101
9	1	0.972	58	133	100	58	133	100
8	1	0.998	55	130	99	55	130	99
7	1	0.972	56	132	98	56	132	98
6	1	0.998	54	76	88	54	76	88
5	1	0.972	135	116	97	135	116	97
4	1	0.972	125	131	96	125	131	96
3	1	0.998	55	80	96	55	80	96
2	1	0.984	127	131	95	127	131	95
1	1	0.998	124	69	93	124	69	93
