Cluster Index	Voxels	1-p-MAX	1-p-MAX X (vox)	1-p-MAX Y (vox)	1-p-MAX Z (vox)	1-p-COG X (vox)	1-p-COG Y (vox)	1-p-COG Z (vox)
13	2091	0.998	69	110	68	66	116	79
12	1816	0.998	103	138	67	114	115	78.5
11	7	0.998	79	116	68	78.9	116	68.4
10	6	0.998	77	117	71	78.2	117	71.5
9	4	0.998	111	143	89	111	142	89.8
8	3	0.998	131	89	69	131	90	69
7	3	0.998	102	116	72	102	116	72.7
6	2	0.998	67	98	87	67	98.5	87.5
5	2	0.998	63	108	90	63.5	108	90
4	1	0.998	117	104	69	117	104	69
3	1	0.972	115	103	70	115	103	70
2	1	0.984	77	125	84	77	125	84
1	1	0.998	68	101	89	68	101	89
