,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
39,25c,-27.0,14.0,24.0,0.9980000257492065,
40,26,-24.0,-7.0,-4.0,0.9980000257492065,52
41,27,-27.0,-9.0,-10.0,0.9980000257492065,20
42,28,-26.0,-16.0,31.0,0.9980000257492065,25
43,29,-31.0,-55.0,-1.0,0.9980000257492065,20
44,30,-38.0,-6.0,-1.0,0.9980000257492065,42
45,31,-40.0,-43.0,-18.0,0.9980000257492065,42
46,32,-17.0,-60.0,-34.0,0.9980000257492065,22
47,33,24.0,-30.0,13.0,0.9980000257492065,44
48,34,4.0,-33.0,-44.0,0.9980000257492065,57
49,34a,-4.0,-32.0,-43.0,0.9959999918937683,
50,35,28.0,-65.0,1.0,0.9980000257492065,27
51,36,29.0,-20.0,47.0,0.9980000257492065,49
52,37,49.0,-51.0,-3.0,0.9980000257492065,28
53,38,29.0,39.0,21.0,0.9980000257492065,25
54,39,47.0,-50.0,11.0,0.9980000257492065,53
55,40,35.0,-72.0,15.0,0.9980000257492065,23
56,41,29.0,12.0,34.0,0.9980000257492065,20
57,42,4.0,-27.0,-24.0,0.9980000257492065,69992
58,42a,-11.0,-21.0,-33.0,0.9980000257492065,
59,42b,-11.0,-14.0,65.0,0.9980000257492065,
60,42c,-11.0,5.0,60.0,0.9980000257492065,
61,43,28.0,28.0,33.0,0.9980000257492065,57
62,44,33.0,47.0,4.0,0.9980000257492065,22
63,45,24.0,-6.0,-4.0,0.9980000257492065,27
64,46,42.0,-47.0,-18.0,0.9980000257492065,132
65,47,4.0,8.0,-10.0,0.9959999918937683,36
66,48,4.0,-28.0,-26.0,0.9959999918937683,26
67,49,4.0,4.0,-14.0,0.9959999918937683,42
68,50,38.0,-6.0,38.0,0.9959999918937683,24
69,51,-19.0,-90.0,4.0,0.9959999918937683,44
70,52,35.0,-24.0,-21.0,0.9959999918937683,22
71,53,-19.0,-70.0,38.0,0.9959999918937683,22
72,54,-28.0,18.0,19.0,0.9959999918937683,21
73,55,-34.0,39.0,-2.0,0.9959999918937683,79
74,56,-31.0,20.0,43.0,0.9959999918937683,31
75,57,-32.0,31.0,14.0,0.9959999918937683,55
76,58,-44.0,-60.0,-6.0,0.9959999918937683,22
