,Cluster ID,X,Y,Z,Cluster Size (mm3),Tracts
2,1b,-7.0,23.0,24.0,,CgC.L
3,1c,-9.0,-35.0,33.0,,CgC.L
0,1,20.0,-40.0,-3.0,24,CgH.R
0,1,-23.0,-27.0,-19.0,151,CgH.L
0,1,35.0,-15.0,-12.0,25,FX/ST.R
1,2,23.0,-34.0,3.0,224,FX/ST.R
2,2a,29.0,-26.0,-4.0,,FX/ST.R
0,1,-28.0,-26.0,-5.0,168,FX/ST.L
0,1,41.0,-47.0,11.0,326,SLF.R
1,2,37.0,-7.0,25.0,708,SLF.R
2,2a,34.0,6.0,20.0,,SLF.R
3,2b,35.0,-13.0,35.0,,SLF.R
4,2c,36.0,1.0,23.0,,SLF.R
5,3,33.0,-17.0,38.0,69,SLF.R
6,3a,28.0,-25.0,41.0,,SLF.R
7,3b,34.0,-12.0,33.0,,SLF.R
0,1,-36.0,-21.0,29.0,855,SLF.L
1,1a,-37.0,-43.0,24.0,,SLF.L
2,2,-37.0,-53.0,16.0,47,SLF.L
3,3,-41.0,-45.0,12.0,227,SLF.L
4,3a,-42.0,-51.0,4.0,,SLF.L
0,1,23.0,-2.0,20.0,126,SFOF.R
0,1,-21.0,6.0,21.0,96,SFOF.L
0,1,35.0,1.0,-16.0,72,UF.R
0,1,-35.0,-1.0,-16.0,55,UF.L
0,1,31.0,-49.0,16.0,29,TAP.R
