,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Tracts
80,78,4.0,-2.0,27.0,0.9980000257492065,4,Group_1
81,79,5.0,22.0,-4.0,0.9980000257492065,1,Group_1
82,80,6.0,22.0,-5.0,0.9980000257492065,1,Group_1
83,81,8.0,25.0,-5.0,0.9980000257492065,1,Group_1
84,82,8.0,-36.0,16.0,0.9980000257492065,1,Group_1
85,83,8.0,-39.0,18.0,0.9980000257492065,2,Group_1
86,84,13.0,-15.0,36.0,0.9980000257492065,1,Group_1
87,85,10.0,-10.0,33.0,0.9980000257492065,19,Group_1
88,86,10.0,-40.0,17.0,0.9980000257492065,1,Group_1
89,87,11.0,-18.0,32.0,0.9980000257492065,5,Group_1
90,88,-25.0,-55.0,18.0,0.9980000257492065,4,Group_1
91,89,11.0,-33.0,26.0,0.9980000257492065,1,Group_1
92,90,12.0,-6.0,35.0,0.9980000257492065,1,Group_1
93,91,12.0,-12.0,36.0,0.9980000257492065,1,Group_1
94,92,12.0,-24.0,32.0,0.9980000257492065,1,Group_1
95,93,-14.0,-50.0,20.0,0.9959999918937683,2,Group_1
96,94,12.0,-29.0,31.0,0.9959999918937683,1,Group_1
97,95,-12.0,-49.0,20.0,0.9959999918937683,1,Group_1
98,96,-23.0,-54.0,21.0,0.9959999918937683,1,Group_1
99,97,15.0,-10.0,39.0,0.9900000095367432,1,Group_1
100,98,-25.0,-58.0,16.0,0.9900000095367432,1,Group_1
101,99,15.0,-9.0,40.0,0.9900000095367432,1,Group_1
102,100,1.0,-34.0,13.0,0.9900000095367432,1,Group_1
103,101,-25.0,-57.0,15.0,0.984000027179718,1,Group_1
104,102,-10.0,-40.0,10.0,0.984000027179718,1,Group_1
105,103,-12.0,-37.0,30.0,0.984000027179718,1,Group_1
106,104,-8.0,-32.0,15.0,0.9760000109672546,1,Group_1
107,105,-7.0,-31.0,15.0,0.9760000109672546,1,Group_1
108,106,-25.0,-58.0,14.0,0.972000002861023,1,Group_1
109,107,-25.0,-59.0,13.0,0.972000002861023,1,Group_1
110,108,-14.0,-36.0,9.0,0.972000002861023,1,Group_1
