,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Tracts
0,1,28.0,-56.0,14.0,0.9980000257492065,6960,Group_1
1,1a,-20.0,-49.0,14.0,0.9980000257492065,,Group_1
2,1b,-10.0,-37.0,19.0,0.9980000257492065,,Group_1
3,1c,-20.0,-48.0,11.0,0.9980000257492065,,Group_1
4,2,-12.0,-40.0,29.0,0.9980000257492065,1,Group_1
5,3,-12.0,-41.0,28.0,0.9980000257492065,1,Group_1
6,4,-12.0,-47.0,25.0,0.9980000257492065,9,Group_1
7,5,-12.0,-48.0,22.0,0.9980000257492065,2,Group_1
8,6,-11.0,-8.0,36.0,0.9980000257492065,1,Group_1
9,7,-11.0,-14.0,35.0,0.9980000257492065,3,Group_1
10,8,-11.0,-36.0,26.0,0.9980000257492065,1,Group_1
11,9,-10.0,-12.0,35.0,0.9980000257492065,2,Group_1
12,10,-10.0,-21.0,31.0,0.9980000257492065,1,Group_1
13,11,-12.0,-17.0,35.0,0.9980000257492065,3,Group_1
14,12,-9.0,0.0,32.0,0.9980000257492065,3,Group_1
15,13,-8.0,25.0,-4.0,0.9980000257492065,1,Group_1
16,14,-6.0,23.0,14.0,0.9980000257492065,1,Group_1
17,15,-6.0,22.0,-4.0,0.9980000257492065,1,Group_1
18,16,-6.0,-32.0,25.0,0.9980000257492065,1,Group_1
19,17,-5.0,24.0,13.0,0.9980000257492065,6,Group_1
20,18,-4.0,22.0,14.0,0.9980000257492065,2,Group_1
21,19,-2.0,17.0,-1.0,0.9980000257492065,1,Group_1
22,20,-2.0,-30.0,22.0,0.9980000257492065,1,Group_1
23,21,-1.0,-30.0,21.0,0.9980000257492065,1,Group_1
24,22,-9.0,-11.0,33.0,0.9980000257492065,21,Group_1
25,23,0.0,-32.0,20.0,0.9980000257492065,2,Group_1
26,24,-12.0,-7.0,35.0,0.9980000257492065,1,Group_1
27,25,-13.0,-28.0,32.0,0.9980000257492065,1,Group_1
28,26,-24.0,-54.0,10.0,0.9980000257492065,12,Group_1
29,27,-22.0,-51.0,10.0,0.9980000257492065,6,Group_1
30,28,-18.0,5.0,32.0,0.9980000257492065,1,Group_1
31,29,-18.0,-4.0,34.0,0.9980000257492065,4,Group_1
32,30,-18.0,-8.0,34.0,0.9980000257492065,1,Group_1
33,31,-18.0,-40.0,26.0,0.9980000257492065,1,Group_1
34,32,-18.0,-41.0,25.0,0.9980000257492065,1,Group_1
35,33,-18.0,-44.0,30.0,0.9980000257492065,1,Group_1
36,34,-18.0,-45.0,29.0,0.9980000257492065,1,Group_1
37,35,-14.0,-43.0,17.0,0.9980000257492065,2,Group_1
38,36,-18.0,-46.0,28.0,0.9980000257492065,1,Group_1
39,37,-17.0,-41.0,24.0,0.9980000257492065,1,Group_1
40,38,-17.0,-39.0,25.0,0.9980000257492065,3,Group_1
41,39,-16.0,-48.0,27.0,0.9980000257492065,1,Group_1
42,40,-15.0,-53.0,21.0,0.9980000257492065,12,Group_1
43,41,-14.0,-6.0,37.0,0.9980000257492065,1,Group_1
44,42,-14.0,-48.0,25.0,0.9980000257492065,1,Group_1
45,43,-13.0,31.0,17.0,0.9980000257492065,1,Group_1
46,44,-13.0,-5.0,36.0,0.9980000257492065,1,Group_1
47,45,-13.0,-20.0,35.0,0.9980000257492065,1,Group_1
48,46,-18.0,1.0,33.0,0.9980000257492065,7,Group_1
49,47,1.0,17.0,1.0,0.9980000257492065,1,Group_1
50,48,-4.0,21.0,-3.0,0.9980000257492065,1,Group_1
51,49,2.0,-6.0,27.0,0.9980000257492065,1,Group_1
52,50,13.0,-41.0,29.0,0.9980000257492065,1,Group_1
53,51,13.0,-46.0,25.0,0.9980000257492065,1,Group_1
54,52,14.0,-46.0,26.0,0.9980000257492065,1,Group_1
55,53,14.0,-48.0,20.0,0.9980000257492065,1,Group_1
56,54,14.0,-31.0,33.0,0.9980000257492065,2,Group_1
57,55,15.0,-47.0,26.0,0.9980000257492065,3,Group_1
58,56,15.0,-49.0,21.0,0.9980000257492065,1,Group_1
59,57,16.0,-44.0,22.0,0.9980000257492065,1,Group_1
60,58,16.0,-50.0,23.0,0.9980000257492065,1,Group_1
61,59,16.0,-51.0,21.0,0.9980000257492065,1,Group_1
62,60,17.0,-35.0,33.0,0.9980000257492065,1,Group_1
63,61,17.0,-51.0,24.0,0.9980000257492065,2,Group_1
64,62,19.0,15.0,29.0,0.9980000257492065,1,Group_1
65,63,19.0,9.0,31.0,0.9980000257492065,1,Group_1
66,64,19.0,-2.0,34.0,0.9980000257492065,1,Group_1
67,65,19.0,-28.0,32.0,0.9980000257492065,2,Group_1
68,66,19.0,-30.0,31.0,0.9980000257492065,2,Group_1
69,67,20.0,-35.0,29.0,0.9980000257492065,10,Group_1
70,68,25.0,-49.0,22.0,0.9980000257492065,2,Group_1
71,69,26.0,-50.0,20.0,0.9980000257492065,1,Group_1
72,70,27.0,-54.0,11.0,0.9980000257492065,1,Group_1
73,71,13.0,-40.0,30.0,0.9980000257492065,1,Group_1
74,72,13.0,-19.0,35.0,0.9980000257492065,1,Group_1
75,73,13.0,-44.0,27.0,0.9980000257492065,5,Group_1
76,74,13.0,-6.0,36.0,0.9980000257492065,1,Group_1
77,75,1.0,-29.0,23.0,0.9980000257492065,6,Group_1
78,76,3.0,-4.0,27.0,0.9980000257492065,1,Group_1
79,77,4.0,22.0,-3.0,0.9980000257492065,1,Group_1
